name,name_eng,rank,total_score,school_level,type,note,location,link,logo
烟台大学,Yantai University,193,167.0,,综合,,山东,"https://www.ytu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/78347320.png
大连工业大学,Dalian Polytechnic University,195,165.9,,理工,,辽宁,"http://www.dlpu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/56717207.png
哈尔滨理工大学,Harbin University of Science and Technology,196,165.5,,理工,,黑龙江,"http://www.hrbust.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/37722595.png
沈阳师范大学,Shenyang Normal University,196,165.5,,师范,,辽宁,"https://www.synu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/35037401.png
延边大学,Yanbian University,198,165.4,,综合,一流学科/211,吉林,"https://www.ybu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/80498016.png
内蒙古农业大学,Inner Mongolia Agricultural University,199,165.3,,农业,,内蒙古,"https://www.imau.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/21981730.png
河南科技大学,Henan University of Science and Technology,200,164.9,,综合,,河南,"https://www.haust.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/15231544.png
南华大学,University of South China,201,164.1,,综合,,湖南,"https://www.usc.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/37506435.png
哈尔滨师范大学,Harbin Normal University,202,164.0,,师范,,黑龙江,"http://www.hrbnu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/21560941.png
石家庄铁道大学,Shijiazhuang Tiedao University,203,163.5,,理工,,河北,"https://www.stdu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/56126922.png
北京信息科技大学,Beijing Information Science &amp; Technology University,204,163.4,,理工,,北京,"https://www.bistu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/34773687.png
沈阳建筑大学,Shenyang Jianzhu University,205,162.5,,理工,,辽宁,"https://www.sjzu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/83840131.png
青岛农业大学,Qingdao Agricultural University,206,162.4,,农业,,山东,"https://www.qau.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/23730927.png
上海工程技术大学,Shanghai University of Engineering Science,207,161.7,,理工,,上海,"https://www.sues.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/45746621.png
河南工业大学,Henan University of Technology,208,161.4,,理工,,河南,"https://www.haut.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/30747881.png
江西理工大学,Jiangxi University of Science and Technology,209,161.1,,理工,,江西,"https://www.jxust.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/17877939.png
中南林业科技大学,Central South University of Forestry &amp; Technology,210,160.8,,林业,,湖南,"https://www.csuft.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/51346265.png
北京农学院,Beijing University of Agriculture,211,160.7,,农业,,北京,"https://www.bua.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/37951247.png
重庆师范大学,Chongqing Normal University,212,160.6,,师范,,重庆,"https://www.cqnu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/84729350.png
江西农业大学,Jiangxi Agricultural University,213,160.5,,农业,,江西,"http://www.jxau.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/90588785.png
兰州交通大学,Lanzhou Jiaotong University,213,160.5,,理工,,甘肃,"https://www.lzjtu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/43772124.png
西藏大学,Tibet University,215,159.7,,综合,一流学科/211,西藏,"http://www.utibet.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/71112798.png
沈阳工业大学,Shenyang University of Technology,216,159.6,,理工,,辽宁,"https://www.sut.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/88323331.png
华东交通大学,East China Jiaotong University,217,159.4,,理工,,江西,"http://www.ecjtu.jx.cn/
",https://www.shanghairanking.cn/_uni/logo/87418361.png
沈阳航空航天大学,Shenyang Aerospace University,218,159.2,,理工,,辽宁,"https://www.sau.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/95837223.png
西安邮电大学,Xi'an University of Posts and Telecommunications,219,158.9,,理工,,陕西,"http://www.xiyou.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/14415798.png
东华理工大学,East China University of Technology,220,158.7,,理工,,江西,"http://www.ecit.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/80888604.png
东北电力大学,Northeast Electric Power University,221,158.6,,理工,,吉林,"http://www.neepu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/67384709.png
上海电力大学,Shanghai University of Electric Power,222,157.9,,理工,,上海,"https://www.shiep.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/10117000.png
鲁东大学,Ludong University,223,157.3,,综合,,山东,"https://www.ldu.edu.cn/
",https://www.shanghairanking.cn/_uni/logo/27442378.png
国际关系学院,University of International Relations,224,157.2,,综合,,北京,"https://www.uir.cn/
",https://www.shanghairanking.cn/_uni/logo-jpg/3679975000.jpg
