校名,英文名,2021软科排名,备注,类型,地点,2021软科总分,2021软科办学层次,logo下载url
湖南大学,Hunan University,32,一流大学B类/985/211,综合,湖南,393.5,31.4,https://www.shanghairanking.cn/_uni/logo/79015808.png
北京科技大学,University of Science and Technology Beijing,33,一流学科/211,理工,北京,379.4,32.2,https://www.shanghairanking.cn/_uni/logo/96310183.png
重庆大学,Chongqing University,34,一流大学A类/985/211,综合,重庆,365.5,29.9,https://www.shanghairanking.cn/_uni/logo/79822387.png
南京航空航天大学,Nanjing University of Aeronautics and Astronautics,35,一流学科/211,理工,江苏,358.6,28.6,https://www.shanghairanking.cn/_uni/logo-jpg/4506696400.jpg
东北大学,Northeastern University,36,一流大学B类/985/211,理工,辽宁,356.1,32.2,https://www.shanghairanking.cn/_uni/logo/79513869.png
南京理工大学,Nanjing University of Science and Technology,37,一流学科/211,理工,江苏,356.0,30.9,https://www.shanghairanking.cn/_uni/logo/38974419.png
西安电子科技大学,Xidian University,38,一流学科/211,理工,陕西,355.1,30.2,https://www.shanghairanking.cn/_uni/logo/88267454.png
兰州大学,Lanzhou University,39,一流大学A类/985/211,综合,甘肃,353.4,30.6,https://www.shanghairanking.cn/_uni/logo/84317715.png
北京交通大学,Beijing jiaotong University,40,一流学科/211,理工,北京,349.9,32.0,https://www.shanghairanking.cn/_uni/logo/60987143.png
南方科技大学,Southern University of Science and Technology,41,,综合,广东,345.8,28.9,https://www.shanghairanking.cn/_uni/logo/22950445.png
华中农业大学,Huazhong Agricultural University,42,一流学科/211,农业,湖北,338.5,28.5,https://www.shanghairanking.cn/_uni/logo/20950268.png
上海大学,Shanghai University,43,一流学科/211,综合,上海,333.0,31.7,https://www.shanghairanking.cn/_uni/logo/94139385.png
苏州大学,Soochow University (China),44,一流学科/211,综合,江苏,327.0,28.7,https://www.shanghairanking.cn/_uni/logo/44374737.png
华东理工大学,East China University of Science and Technology,45,一流学科/211,理工,上海,324.5,29.7,https://www.shanghairanking.cn/_uni/logo/93042584.png
华中师范大学,Central China Normal University,46,一流学科/211,师范,湖北,322.0,30.6,https://www.shanghairanking.cn/_uni/logo/58510682.png
南京师范大学,Nanjing Normal University,47,一流学科/211,师范,江苏,321.3,29.5,https://www.shanghairanking.cn/_uni/logo/27072054.png
中国地质大学（武汉）,China University of Geosciences (Wuhan),48,一流学科/211,理工,湖北,320.2,29.9,https://www.shanghairanking.cn/_uni/logo/25952542.png
东北师范大学,Northeast Normal University,49,一流学科/211,师范,吉林,319.7,33.1,https://www.shanghairanking.cn/_uni/logo/12611652.png
哈尔滨工程大学,Harbin Engineering University,50,一流学科/211,理工,黑龙江,319.0,29.3,https://www.shanghairanking.cn/_uni/logo/86980791.png
西南交通大学,Southwest Jiaotong University,51,一流学科/211,理工,四川,318.0,28.7,https://www.shanghairanking.cn/_uni/logo/29218271.png
南京农业大学,Nanjing Agricultural University,52,一流学科/211,农业,江苏,316.1,29.2,https://www.shanghairanking.cn/_uni/logo/43891811.png
郑州大学,Zhengzhou University,53,一流大学B类/211,综合,河南,312.8,26.3,https://www.shanghairanking.cn/_uni/logo/68963418.png
北京邮电大学,Beijing University of Posts and Telecommunications,54,一流学科/211,理工,北京,312.5,30.8,https://www.shanghairanking.cn/_uni/logo/15344334.png
武汉理工大学,Wuhan University of Technology,55,一流学科/211,理工,湖北,312.2,28.0,https://www.shanghairanking.cn/_uni/logo/16563358.png
中国海洋大学,Ocean University of China,56,一流大学A类/985/211,综合,山东,311.0,30.3,https://www.shanghairanking.cn/_uni/logo/53553512.png
暨南大学,Jinan University,57,一流学科/211,综合,广东,307.4,29.1,https://www.shanghairanking.cn/_uni/logo/78175531.png
中国石油大学（北京）,China University of Petroleum - Beijing,58,一流学科/211,理工,北京,307.3,32.5,https://www.shanghairanking.cn/_uni/logo-jpg/6662428200.jpg
北京工业大学,Beijing University of Technology,59,一流学科/211,理工,北京,306.0,30.0,https://www.shanghairanking.cn/_uni/logo/10211810.png
河海大学,Hohai University,60,一流学科/211,理工,江苏,303.4,31.3,https://www.shanghairanking.cn/_uni/logo/76817036.png
中国矿业大学,China University of Mining and Technology - Xuzhou,61,一流学科/211,理工,江苏,301.6,28.3,https://www.shanghairanking.cn/_uni/logo/15914272.png
北京化工大学,Beijing University of Chemical Technology,62,一流学科/211,理工,北京,296.7,28.2,https://www.shanghairanking.cn/_uni/logo/46052210.png
中国地质大学（北京）,China University of Geosciences (Beijing),63,一流学科/211,理工,北京,295.5,32.7,https://www.shanghairanking.cn/_uni/logo/21004246.png
西北大学,Northwest University,64,一流学科/211,综合,陕西,293.0,25.6,https://www.shanghairanking.cn/_uni/logo/15797720.png
江南大学,Jiangnan University,65,一流学科/211,综合,江苏,292.9,27.4,https://www.shanghairanking.cn/_uni/logo/92884896.png
上海科技大学,ShanghaiTech University,66,,综合,上海,288.7,33.4,https://www.shanghairanking.cn/_uni/logo/46886554.png
中国石油大学（华东）,China University of Petroleum (Huadong),67,一流学科/211,理工,山东,287.4,27.6,https://www.shanghairanking.cn/_uni/logo/92620812.png
西南大学,Southwest University,68,一流学科/211,综合,重庆,286.5,26.4,https://www.shanghairanking.cn/_uni/logo/68012227.png
中国矿业大学（北京）,China University of Mining and Technology - Beijing,69,一流学科/211,理工,北京,285.5,31.2,https://www.shanghairanking.cn/_uni/logo/61910568.png
深圳大学,Shenzhen University,70,,综合,广东,280.4,25.5,https://www.shanghairanking.cn/_uni/logo/88823168.png
陕西师范大学,Shaanxi Normal University,71,一流学科/211,师范,陕西,280.1,33.2,https://www.shanghairanking.cn/_uni/logo/22611416.png
江苏大学,Jiangsu University,72,,综合,江苏,276.9,26.5,https://www.shanghairanking.cn/_uni/logo/28154997.png
浙江工业大学,Zhejiang University of Technology,73,,理工,浙江,275.6,27.6,https://www.shanghairanking.cn/_uni/logo/19897860.png
北京林业大学,Beijing Forestry University,74,一流学科/211,林业,北京,275.0,28.5,https://www.shanghairanking.cn/_uni/logo/43861010.png
华南师范大学,South China Normal University,75,一流学科/211,师范,广东,274.7,27.4,https://www.shanghairanking.cn/_uni/logo/47317168.png
西北农林科技大学,Northwest A&amp;F University,76,一流大学B类/985/211,农业,陕西,273.7,27.9,https://www.shanghairanking.cn/_uni/logo/25536937.png
扬州大学,Yangzhou University,77,,综合,江苏,269.5,25.9,https://www.shanghairanking.cn/_uni/logo/61656418.png
南昌大学,Nanchang University,78,一流学科/211,综合,江西,268.9,27.3,https://www.shanghairanking.cn/_uni/logo/25119833.png
福州大学,Fuzhou University,79,一流学科/211,理工,福建,267.7,28.6,https://www.shanghairanking.cn/_uni/logo/77372849.png
华北电力大学,North China Electric Power University,80,一流学科/211,理工,北京,263.2,27.1,https://www.shanghairanking.cn/_uni/logo/13312897.png
东华大学,Donghua University,81,一流学科/211,理工,上海,262.8,28.9,https://www.shanghairanking.cn/_uni/logo/41255312.png
合肥工业大学,Hefei University of Technology,82,一流学科/211,理工,安徽,262.7,26.2,https://www.shanghairanking.cn/_uni/logo/55155531.png
云南大学,Yunnan University,83,一流大学B类/211,综合,云南,262.1,29.5,https://www.shanghairanking.cn/_uni/logo/31586909.png
宁波大学,Ningbo University,84,一流学科,综合,浙江,261.4,27.7,https://www.shanghairanking.cn/_uni/logo/83052172.png
首都师范大学,Capital Normal University,85,一流学科,师范,北京,261.1,29.9,https://www.shanghairanking.cn/_uni/logo/66860048.png
湖南师范大学,Hunan Normal University,86,一流学科/211,师范,湖南,259.6,27.9,https://www.shanghairanking.cn/_uni/logo/60718001.png
南京工业大学,Nanjing Tech University,87,,理工,江苏,259.5,25.7,https://www.shanghairanking.cn/_uni/logo/18208126.png
长安大学,Chang'an University,88,一流学科/211,理工,陕西,250.2,28.1,https://www.shanghairanking.cn/_uni/logo/22876250.png
福建师范大学,Fujian Normal University,89,,师范,福建,248.2,27.0,https://www.shanghairanking.cn/_uni/logo/63841113.png
安徽大学,Anhui University,90,一流学科/211,综合,安徽,243.1,26.0,https://www.shanghairanking.cn/_uni/logo/13378567.png
南京信息工程大学,Nanjing University of Information Science &amp; Technology,91,一流学科,理工,江苏,240.9,23.5,https://www.shanghairanking.cn/_uni/logo/59759082.png
上海理工大学,University of Shanghai for Science and Technology,92,,理工,上海,240.7,28.7,https://www.shanghairanking.cn/_uni/logo/13304999.png
华南农业大学,South China Agricultural University,93,,农业,广东,238.3,23.4,https://www.shanghairanking.cn/_uni/logo/90236014.png
广西大学,Guangxi University,94,一流学科/211,综合,广西,237.0,27.3,https://www.shanghairanking.cn/_uni/logo/22864185.png
南京邮电大学,Nanjing University of Posts and Telecommunications,95,一流学科,理工,江苏,235.7,25.5,https://www.shanghairanking.cn/_uni/logo/19754745.png
燕山大学,Yanshan University,95,,理工,河北,235.7,26.7,https://www.shanghairanking.cn/_uni/logo/79375733.png
河南大学,Henan University,97,一流学科,综合,河南,234.6,24.6,https://www.shanghairanking.cn/_uni/logo/80055117.png
湖北大学,Hubei University,98,,综合,湖北,232.9,23.7,https://www.shanghairanking.cn/_uni/logo/88139185.png
广州大学,Guangzhou University,99,,综合,广东,232.7,23.9,https://www.shanghairanking.cn/_uni/logo/65301006.png
青岛大学,Qingdao University,100,,综合,山东,231.4,25.2,https://www.shanghairanking.cn/_uni/logo/17947921.png
湘潭大学,Xiangtan University,101,,综合,湖南,229.9,,https://www.shanghairanking.cn/_uni/logo/94973363.png
广东工业大学,Guangdong University of Technology,102,,理工,广东,229.6,,https://www.shanghairanking.cn/_uni/logo/47705257.png
浙江师范大学,Zhejiang Normal University,103,,师范,浙江,229.2,,https://www.shanghairanking.cn/_uni/logo/34648327.png
大连海事大学,Dalian Maritime University,104,一流学科/211,理工,辽宁,228.4,,https://www.shanghairanking.cn/_uni/logo/30113036.png
上海师范大学,Shanghai Normal University,105,,师范,上海,227.3,,https://www.shanghairanking.cn/_uni/logo/69056215.png
杭州电子科技大学,Hangzhou Dianzi University,106,,理工,浙江,226.9,,https://www.shanghairanking.cn/_uni/logo/47982726.png
武汉科技大学,Wuhan University of Science and Technology,107,,理工,湖北,226.6,,https://www.shanghairanking.cn/_uni/logo/80614446.png
南京林业大学,Nanjing Forestry University,108,一流学科,林业,江苏,225.3,,https://www.shanghairanking.cn/_uni/logo/34561912.png
河北工业大学,Hebei University of Technology,109,一流学科/211,理工,天津,223.8,,https://www.shanghairanking.cn/_uni/logo/23684464.png
山东师范大学,Shandong Normal University,109,,师范,山东,223.8,,https://www.shanghairanking.cn/_uni/logo/91702072.png
浙江理工大学,Zhejiang Sci-Tech University,111,,理工,浙江,221.8,,https://www.shanghairanking.cn/_uni/logo/16934191.png
山西大学,Shanxi University,112,,综合,山西,221.0,,https://www.shanghairanking.cn/_uni/logo/45548865.png
太原理工大学,Taiyuan University of Technology,113,一流学科/211,理工,山西,219.8,,https://www.shanghairanking.cn/_uni/logo/32584796.png
东北林业大学,Northeast Forestry University - China,114,一流学科/211,林业,黑龙江,218.9,,https://www.shanghairanking.cn/_uni/logo/23921267.png
河北大学,Hebei University,115,,综合,河北,217.0,,https://www.shanghairanking.cn/_uni/logo/93335325.png
东北农业大学,Northeast Agricultural University - China,116,一流学科/211,农业,黑龙江,216.3,,https://www.shanghairanking.cn/_uni/logo/52533406.png
江西师范大学,Jiangxi Normal University,117,,师范,江西,215.5,,https://www.shanghairanking.cn/_uni/logo/81455706.png
西安建筑科技大学,Xi'an University of Architecture and Technology,117,,理工,陕西,215.5,,https://www.shanghairanking.cn/_uni/logo/16154228.png
杭州师范大学,Hangzhou Normal University,119,,师范,浙江,215.2,,https://www.shanghairanking.cn/_uni/logo/19604361.png
内蒙古大学,Inner Mongolia University,120,一流学科/211,综合,内蒙古,214.9,,https://www.shanghairanking.cn/_uni/logo/53570063.png
福建农林大学,Fujian Agriculture and Forestry University,121,,农业,福建,214.0,,https://www.shanghairanking.cn/_uni/logo/45877801.png
江苏师范大学,Jiangsu Normal University,122,,师范,江苏,213.4,,https://www.shanghairanking.cn/_uni/logo/43285571.png
西安理工大学,Xi'an University of Technology,123,,理工,陕西,213.2,,https://www.shanghairanking.cn/_uni/logo/41922592.png
辽宁大学,Liaoning University,124,一流学科/211,综合,辽宁,212.6,,https://www.shanghairanking.cn/_uni/logo/38214321.png
北京建筑大学,Beijing University of Civil Engineering and Architecture,125,,理工,北京,210.8,,https://www.shanghairanking.cn/_uni/logo/88552972.png
安徽师范大学,Anhui Normal University,126,,师范,安徽,210.5,,https://www.shanghairanking.cn/_uni/logo/34817561.png
河南师范大学,Henan Normal University,127,,师范,河南,210.4,,https://www.shanghairanking.cn/_uni/logo/83132958.png
长沙理工大学,Changsha University of Science and Technology,128,,理工,湖南,209.5,,https://www.shanghairanking.cn/_uni/logo/12224674.png
昆明理工大学,Kunming University of Science and Technology,129,,理工,云南,206.7,,https://www.shanghairanking.cn/_uni/logo/50829319.png
新疆大学,Xinjiang University,129,一流大学B类/211,综合,新疆,206.7,,https://www.shanghairanking.cn/_uni/logo/17029370.png
汕头大学,Shantou University,131,,综合,广东,206.4,,https://www.shanghairanking.cn/_uni/logo/34125242.png
西南石油大学,Southwest Petroleum University,132,一流学科,理工,四川,206.0,,https://www.shanghairanking.cn/_uni/logo/43387859.png
山东科技大学,Shandong University of Science and Technology,133,,综合,山东,204.5,,https://www.shanghairanking.cn/_uni/logo/69243726.png
河南农业大学,Henan Agricultural University,134,,农业,河南,204.3,,https://www.shanghairanking.cn/_uni/logo/20942432.png
贵州大学,Guizhou University,135,一流学科/211,综合,贵州,201.7,,https://www.shanghairanking.cn/_uni/logo/47002167.png
华侨大学,Huaqiao University,136,,综合,福建,201.4,,https://www.shanghairanking.cn/_uni/logo/22700357.png
河北师范大学,Hebei Normal University,137,,师范,河北,201.1,,https://www.shanghairanking.cn/_uni/logo/91541508.png
黑龙江大学,Heilongjiang University,138,,综合,黑龙江,201.0,,https://www.shanghairanking.cn/_uni/logo/73169357.png
中国计量大学,China Jiliang University,138,,理工,浙江,201.0,,https://www.shanghairanking.cn/_uni/logo/30667767.png
陕西科技大学,Shaanxi University of Science and Technology,140,,理工,陕西,198.6,,https://www.shanghairanking.cn/_uni/logo/10933822.png
沈阳农业大学,Shenyang Agricultural University,141,,农业,辽宁,196.8,,https://www.shanghairanking.cn/_uni/logo/71980553.png
天津师范大学,Tianjin Normal University,142,,师范,天津,196.5,,https://www.shanghairanking.cn/_uni/logo/97894665.png
湖北工业大学,Hubei University of Technology,143,,理工,湖北,196.3,,https://www.shanghairanking.cn/_uni/logo/28021393.png
海南大学,Hainan University,144,一流学科/211,综合,海南,196.2,,https://www.shanghairanking.cn/_uni/logo/32937649.png
济南大学,University of Jinan,145,,综合,山东,195.4,,https://www.shanghairanking.cn/_uni/logo/68479674.png
山东农业大学,Shandong Agricultural University,146,,农业,山东,194.7,,https://www.shanghairanking.cn/_uni/logo/29659511.png
常州大学,Changzhou University,147,,理工,江苏,194.6,,https://www.shanghairanking.cn/_uni/logo/80008528.png
温州大学,Wenzhou University,147,,综合,浙江,194.6,,https://www.shanghairanking.cn/_uni/logo/87896146.png
重庆邮电大学,Chongqing University of Posts and Telecommunications,149,,理工,重庆,193.7,,https://www.shanghairanking.cn/_uni/logo/60895367.png
齐鲁工业大学,Qilu University of Technology,150,,理工,山东,192.6,,https://www.shanghairanking.cn/_uni/logo/90803100.png
曲阜师范大学,Qufu Normal University,151,,师范,山东,189.8,,https://www.shanghairanking.cn/_uni/logo/69697043.png
武汉工程大学,Wuhan Institute of Technology,152,,理工,湖北,188.6,,https://www.shanghairanking.cn/_uni/logo/44707995.png
湖南农业大学,Hunan Agricultural University,153,,农业,湖南,187.9,,https://www.shanghairanking.cn/_uni/logo/66911347.png
天津工业大学,Tiangong University,154,一流学科,理工,天津,187.4,,https://www.shanghairanking.cn/_uni/logo/66317793.png
安徽农业大学,Anhui Agricultural University,155,,农业,安徽,187.0,,https://www.shanghairanking.cn/_uni/logo/63075474.png
江苏科技大学,Jiangsu University of Science and Technology,156,,理工,江苏,186.8,,https://www.shanghairanking.cn/_uni/logo/20300251.png
浙江农林大学,Zhejiang A&amp;F University,157,,林业,浙江,186.0,,https://www.shanghairanking.cn/_uni/logo/72636185.png
北方工业大学,North China University of Technology,158,,理工,北京,185.7,,https://www.shanghairanking.cn/_uni/logo/83653605.png
广西师范大学,Guangxi Normal University,159,,师范,广西,184.7,,https://www.shanghairanking.cn/_uni/logo/54671948.png
吉林农业大学,Jilin Agricultural University,160,,农业,吉林,184.4,,https://www.shanghairanking.cn/_uni/logo/12157432.png
青岛科技大学,Qingdao University of Science and Technology,161,,理工,山东,183.8,,https://www.shanghairanking.cn/_uni/logo/56581722.png
四川农业大学,Sichuan Agricultural University,162,一流学科/211,农业,四川,183.3,,https://www.shanghairanking.cn/_uni/logo/22750663.png
西北师范大学,Northwest Normal University China,162,,师范,甘肃,183.3,,https://www.shanghairanking.cn/_uni/logo/37657107.png
南通大学,Nantong University,164,,综合,江苏,183.1,,https://www.shanghairanking.cn/_uni/logo/39196558.png
石河子大学,Shihezi University,165,一流学科/211,综合,新疆,182.8,,https://www.shanghairanking.cn/_uni/logo/87170098.png
上海海洋大学,Shanghai Ocean University,166,一流学科,农业,上海,182.5,,https://www.shanghairanking.cn/_uni/logo/47534017.png
三峡大学,China Three Gorges University,167,,综合,湖北,179.8,,https://www.shanghairanking.cn/_uni/logo/50293135.png
安徽工业大学,Anhui University of Technology,168,,理工,安徽,178.6,,https://www.shanghairanking.cn/_uni/logo/48772206.png
河南理工大学,Henan Polytechnic University,169,,理工,河南,177.7,,https://www.shanghairanking.cn/_uni/logo/73183299.png
宁夏大学,Ningxia University,170,一流学科/211,综合,宁夏,176.4,,https://www.shanghairanking.cn/_uni/logo/26171919.png
西安科技大学,Xi'an University of Science and Technology,171,,理工,陕西,175.0,,https://www.shanghairanking.cn/_uni/logo/98750379.png
上海海事大学,Shanghai Maritime University,172,,理工,上海,174.6,,https://www.shanghairanking.cn/_uni/logo/27308396.png
成都理工大学,Chengdu University of Technology,173,一流学科,理工,四川,174.2,,https://www.shanghairanking.cn/_uni/logo/46566063.png
南昌航空大学,Nanchang Hangkong University,174,,理工,江西,173.7,,https://www.shanghairanking.cn/_uni/logo/58177572.png
长春理工大学,Changchun University of Science and Technology,175,,理工,吉林,172.7,,https://www.shanghairanking.cn/_uni/logo/89241049.png
辽宁师范大学,Liaoning Normal University,176,,师范,辽宁,172.5,,https://www.shanghairanking.cn/_uni/logo/95713009.png
西南科技大学,Southwest University of Science and Technology,177,,理工,四川,172.1,,https://www.shanghairanking.cn/_uni/logo/36892794.png
河北农业大学,Hebei Agricultural University,178,,农业,河北,171.9,,https://www.shanghairanking.cn/_uni/logo/80338654.png
中北大学,North University of China,179,,理工,山西,171.7,,https://www.shanghairanking.cn/_uni/logo/11211551.png
青海大学,Qinghai University,180,一流学科/211,综合,青海,171.6,,https://www.shanghairanking.cn/_uni/logo/68094541.png
曲阜师范大学,Qufu Normal University,151,,师范,山东,189.8,,https://www.shanghairanking.cn/_uni/logo/69697043.png
武汉工程大学,Wuhan Institute of Technology,152,,理工,湖北,188.6,,https://www.shanghairanking.cn/_uni/logo/44707995.png
湖南农业大学,Hunan Agricultural University,153,,农业,湖南,187.9,,https://www.shanghairanking.cn/_uni/logo/66911347.png
天津工业大学,Tiangong University,154,一流学科,理工,天津,187.4,,https://www.shanghairanking.cn/_uni/logo/66317793.png
安徽农业大学,Anhui Agricultural University,155,,农业,安徽,187.0,,https://www.shanghairanking.cn/_uni/logo/63075474.png
江苏科技大学,Jiangsu University of Science and Technology,156,,理工,江苏,186.8,,https://www.shanghairanking.cn/_uni/logo/20300251.png
浙江农林大学,Zhejiang A&amp;F University,157,,林业,浙江,186.0,,https://www.shanghairanking.cn/_uni/logo/72636185.png
北方工业大学,North China University of Technology,158,,理工,北京,185.7,,https://www.shanghairanking.cn/_uni/logo/83653605.png
广西师范大学,Guangxi Normal University,159,,师范,广西,184.7,,https://www.shanghairanking.cn/_uni/logo/54671948.png
吉林农业大学,Jilin Agricultural University,160,,农业,吉林,184.4,,https://www.shanghairanking.cn/_uni/logo/12157432.png
青岛科技大学,Qingdao University of Science and Technology,161,,理工,山东,183.8,,https://www.shanghairanking.cn/_uni/logo/56581722.png
四川农业大学,Sichuan Agricultural University,162,一流学科/211,农业,四川,183.3,,https://www.shanghairanking.cn/_uni/logo/22750663.png
西北师范大学,Northwest Normal University China,162,,师范,甘肃,183.3,,https://www.shanghairanking.cn/_uni/logo/37657107.png
南通大学,Nantong University,164,,综合,江苏,183.1,,https://www.shanghairanking.cn/_uni/logo/39196558.png
石河子大学,Shihezi University,165,一流学科/211,综合,新疆,182.8,,https://www.shanghairanking.cn/_uni/logo/87170098.png
上海海洋大学,Shanghai Ocean University,166,一流学科,农业,上海,182.5,,https://www.shanghairanking.cn/_uni/logo/47534017.png
三峡大学,China Three Gorges University,167,,综合,湖北,179.8,,https://www.shanghairanking.cn/_uni/logo/50293135.png
安徽工业大学,Anhui University of Technology,168,,理工,安徽,178.6,,https://www.shanghairanking.cn/_uni/logo/48772206.png
河南理工大学,Henan Polytechnic University,169,,理工,河南,177.7,,https://www.shanghairanking.cn/_uni/logo/73183299.png
宁夏大学,Ningxia University,170,一流学科/211,综合,宁夏,176.4,,https://www.shanghairanking.cn/_uni/logo/26171919.png
西安科技大学,Xi'an University of Science and Technology,171,,理工,陕西,175.0,,https://www.shanghairanking.cn/_uni/logo/98750379.png
上海海事大学,Shanghai Maritime University,172,,理工,上海,174.6,,https://www.shanghairanking.cn/_uni/logo/27308396.png
成都理工大学,Chengdu University of Technology,173,一流学科,理工,四川,174.2,,https://www.shanghairanking.cn/_uni/logo/46566063.png
南昌航空大学,Nanchang Hangkong University,174,,理工,江西,173.7,,https://www.shanghairanking.cn/_uni/logo/58177572.png
长春理工大学,Changchun University of Science and Technology,175,,理工,吉林,172.7,,https://www.shanghairanking.cn/_uni/logo/89241049.png
辽宁师范大学,Liaoning Normal University,176,,师范,辽宁,172.5,,https://www.shanghairanking.cn/_uni/logo/95713009.png
西南科技大学,Southwest University of Science and Technology,177,,理工,四川,172.1,,https://www.shanghairanking.cn/_uni/logo/36892794.png
河北农业大学,Hebei Agricultural University,178,,农业,河北,171.9,,https://www.shanghairanking.cn/_uni/logo/80338654.png
中北大学,North University of China,179,,理工,山西,171.7,,https://www.shanghairanking.cn/_uni/logo/11211551.png
青海大学,Qinghai University,180,一流学科/211,综合,青海,171.6,,https://www.shanghairanking.cn/_uni/logo/68094541.png
集美大学,Jimei University,181,,综合,福建,170.7,,https://www.shanghairanking.cn/_uni/logo/50079480.png
武汉纺织大学,Wuhan Textile University,182,,理工,湖北,170.4,,https://www.shanghairanking.cn/_uni/logo/90958165.png
天津理工大学,Tianjin University of Technology,183,,理工,天津,170.3,,https://www.shanghairanking.cn/_uni/logo/41797414.png
四川师范大学,Sichuan Normal University,184,,师范,四川,170.1,,https://www.shanghairanking.cn/_uni/logo/20160347.png
云南师范大学,Yunnan Normal University,185,,师范,云南,169.6,,https://www.shanghairanking.cn/_uni/logo/33806915.png
浙江海洋大学,Zhejiang Ocean University,185,,农业,浙江,169.6,,https://www.shanghairanking.cn/_uni/logo/75085847.png
天津科技大学,Tianjin University of Science and Technology,187,,理工,天津,169.5,,https://www.shanghairanking.cn/_uni/logo/19351758.png
湖南科技大学,Hunan University of Science and Technology,188,,综合,湖南,169.4,,https://www.shanghairanking.cn/_uni/logo/66401420.png
重庆交通大学,Chongqing Jiaotong University,189,,理工,重庆,169.1,,https://www.shanghairanking.cn/_uni/logo/71040976.png
长江大学,Yangtze University,190,,综合,湖北,168.4,,https://www.shanghairanking.cn/_uni/logo/50201974.png
兰州理工大学,Lanzhou University of Technology,191,,理工,甘肃,168.1,,https://www.shanghairanking.cn/_uni/logo/67319577.png
山东理工大学,Shandong University of Technology,191,,理工,山东,168.1,,https://www.shanghairanking.cn/_uni/logo/36456722.png
安徽理工大学,Anhui University of Science and Technology,193,,理工,安徽,167.0,,https://www.shanghairanking.cn/_uni/logo/42528928.png
烟台大学,Yantai University,193,,综合,山东,167.0,,https://www.shanghairanking.cn/_uni/logo/78347320.png
大连工业大学,Dalian Polytechnic University,195,,理工,辽宁,165.9,,https://www.shanghairanking.cn/_uni/logo/56717207.png
哈尔滨理工大学,Harbin University of Science and Technology,196,,理工,黑龙江,165.5,,https://www.shanghairanking.cn/_uni/logo/37722595.png
沈阳师范大学,Shenyang Normal University,196,,师范,辽宁,165.5,,https://www.shanghairanking.cn/_uni/logo/35037401.png
延边大学,Yanbian University,198,一流学科/211,综合,吉林,165.4,,https://www.shanghairanking.cn/_uni/logo/80498016.png
内蒙古农业大学,Inner Mongolia Agricultural University,199,,农业,内蒙古,165.3,,https://www.shanghairanking.cn/_uni/logo/21981730.png
河南科技大学,Henan University of Science and Technology,200,,综合,河南,164.9,,https://www.shanghairanking.cn/_uni/logo/15231544.png
南华大学,University of South China,201,,综合,湖南,164.1,,https://www.shanghairanking.cn/_uni/logo/37506435.png
哈尔滨师范大学,Harbin Normal University,202,,师范,黑龙江,164.0,,https://www.shanghairanking.cn/_uni/logo/21560941.png
石家庄铁道大学,Shijiazhuang Tiedao University,203,,理工,河北,163.5,,https://www.shanghairanking.cn/_uni/logo/56126922.png
北京信息科技大学,Beijing Information Science &amp; Technology University,204,,理工,北京,163.4,,https://www.shanghairanking.cn/_uni/logo/34773687.png
沈阳建筑大学,Shenyang Jianzhu University,205,,理工,辽宁,162.5,,https://www.shanghairanking.cn/_uni/logo/83840131.png
青岛农业大学,Qingdao Agricultural University,206,,农业,山东,162.4,,https://www.shanghairanking.cn/_uni/logo/23730927.png
上海工程技术大学,Shanghai University of Engineering Science,207,,理工,上海,161.7,,https://www.shanghairanking.cn/_uni/logo/45746621.png
河南工业大学,Henan University of Technology,208,,理工,河南,161.4,,https://www.shanghairanking.cn/_uni/logo/30747881.png
江西理工大学,Jiangxi University of Science and Technology,209,,理工,江西,161.1,,https://www.shanghairanking.cn/_uni/logo/17877939.png
中南林业科技大学,Central South University of Forestry &amp; Technology,210,,林业,湖南,160.8,,https://www.shanghairanking.cn/_uni/logo/51346265.png
北京农学院,Beijing University of Agriculture,211,,农业,北京,160.7,,https://www.shanghairanking.cn/_uni/logo/37951247.png
重庆师范大学,Chongqing Normal University,212,,师范,重庆,160.6,,https://www.shanghairanking.cn/_uni/logo/84729350.png
江西农业大学,Jiangxi Agricultural University,213,,农业,江西,160.5,,https://www.shanghairanking.cn/_uni/logo/90588785.png
兰州交通大学,Lanzhou Jiaotong University,213,,理工,甘肃,160.5,,https://www.shanghairanking.cn/_uni/logo/43772124.png
西藏大学,Tibet University,215,一流学科/211,综合,西藏,159.7,,https://www.shanghairanking.cn/_uni/logo/71112798.png
沈阳工业大学,Shenyang University of Technology,216,,理工,辽宁,159.6,,https://www.shanghairanking.cn/_uni/logo/88323331.png
华东交通大学,East China Jiaotong University,217,,理工,江西,159.4,,https://www.shanghairanking.cn/_uni/logo/87418361.png
沈阳航空航天大学,Shenyang Aerospace University,218,,理工,辽宁,159.2,,https://www.shanghairanking.cn/_uni/logo/95837223.png
西安邮电大学,Xi'an University of Posts and Telecommunications,219,,理工,陕西,158.9,,https://www.shanghairanking.cn/_uni/logo/14415798.png
东华理工大学,East China University of Technology,220,,理工,江西,158.7,,https://www.shanghairanking.cn/_uni/logo/80888604.png
东北电力大学,Northeast Electric Power University,221,,理工,吉林,158.6,,https://www.shanghairanking.cn/_uni/logo/67384709.png
上海电力大学,Shanghai University of Electric Power,222,,理工,上海,157.9,,https://www.shanghairanking.cn/_uni/logo/10117000.png
鲁东大学,Ludong University,223,,综合,山东,157.3,,https://www.shanghairanking.cn/_uni/logo/27442378.png
