校名,英文名,2021软科排名,备注,类型,地点,2021软科总分,2021软科办学层次,logo下载url
廊坊师范学院,Langfang Teachers University,452,,师范,河北,95.2,,https://www.shanghairanking.cn/_uni/logo/28138817.png
玉溪师范学院,Yuxi Normal University,452,,师范,云南,95.2,,https://www.shanghairanking.cn/_uni/logo/22391217.png
河南城建学院,Henan University of Urban Construction,454,,理工,河南,95.1,,https://www.shanghairanking.cn/_uni/logo/98614127.png
重庆第二师范学院,Chongqing University of Education,455,,师范,重庆,95.0,,https://www.shanghairanking.cn/_uni/logo/78569083.png
西昌学院,Xichang College,456,,综合,四川,94.9,,https://www.shanghairanking.cn/_uni/logo-jpg/8838763600.jpg
凯里学院,Kaili University,457,,综合,贵州,94.8,,https://www.shanghairanking.cn/_uni/logo-jpg/8587602700.jpg
牡丹江师范学院,Mudanjiang Normal University,457,,师范,黑龙江,94.8,,https://www.shanghairanking.cn/_uni/logo/39075056.png
四川旅游学院,Sichuan Tourism University,459,,综合,四川,94.6,,https://www.shanghairanking.cn/_uni/logo-jpg/1651148300.jpg
郑州师范学院,Zhengzhou Normal University,460,,师范,河南,94.4,,https://www.shanghairanking.cn/_uni/logo/81495500.png
大庆师范学院,Daqing Normal University,461,,综合,黑龙江,94.3,,https://www.shanghairanking.cn/_uni/logo-jpg/7194980800.jpg
攀枝花学院,Panzhihua University,461,,综合,四川,94.3,,https://www.shanghairanking.cn/_uni/logo/39118190.png
昆明学院,Kunming University,463,,综合,云南,94.2,,https://www.shanghairanking.cn/_uni/logo/12954554.png
衢州学院,Quzhou University,464,,理工,浙江,94.1,,https://www.shanghairanking.cn/_uni/logo/72411383.png
白城师范学院,Baicheng Normal University,465,,师范,吉林,93.6,,https://www.shanghairanking.cn/_uni/logo-jpg/4750387800.jpg
吉林工程技术师范学院,Jilin Engineering Normal University,465,,师范,吉林,93.6,,https://www.shanghairanking.cn/_uni/logo-jpg/9472304600.jpg
淮南师范学院,Huainan Normal University,467,,师范,安徽,93.5,,https://www.shanghairanking.cn/_uni/logo/56595333.png
湖州学院,Huzhou University Qiuzhen College,467,,师范,浙江,93.5,,https://www.shanghairanking.cn/_uni/logo/19332185.png
嘉应学院,Jiaying University,467,,综合,广东,93.5,,https://www.shanghairanking.cn/_uni/logo/40007744.png
南阳理工学院,Nanyang Institute of Technology,467,,理工,河南,93.5,,https://www.shanghairanking.cn/_uni/logo/83749369.png
营口理工学院,YingKou Institute of Technology,467,,理工,辽宁,93.5,,https://www.shanghairanking.cn/_uni/logo-jpg/1906674600.jpg
商洛学院,Shangluo University,472,,综合,陕西,93.4,,https://www.shanghairanking.cn/_uni/logo/56711450.png
陇东学院,Long Dong University,473,,师范,甘肃,92.4,,https://www.shanghairanking.cn/_uni/logo/49553796.png
保定学院,Baoding University,474,,师范,河北,92.3,,https://www.shanghairanking.cn/_uni/logo-jpg/8911327100.jpg
苏州城市学院,Wenzheng College of Soochow University,474,,综合,江苏,92.3,,https://www.shanghairanking.cn/_uni/logo-jpg/7187173700.jpg
安康学院,Ankang University,476,,综合,陕西,92.2,,https://www.shanghairanking.cn/_uni/logo/83476348.png
湖南科技学院,Hunan University of Science and Engineering,477,,综合,湖南,91.7,,https://www.shanghairanking.cn/_uni/logo/89586778.png
山东管理学院,Shandong Management University,477,,综合,山东,91.7,,https://www.shanghairanking.cn/_uni/logo-jpg/7097115800.jpg
贵阳学院,Guiyang University,479,,综合,贵州,91.5,,https://www.shanghairanking.cn/_uni/logo/66279213.png
辽宁科技学院,Liaoning Institute of Science and Technology,480,,理工,辽宁,91.4,,https://www.shanghairanking.cn/_uni/logo-jpg/2349550300.jpg
武夷学院,Wuyi University,481,,综合,福建,91.3,,https://www.shanghairanking.cn/_uni/logo-jpg/6657725600.jpg
鞍山师范学院,Anshan Normal University Liaoning China,482,,师范,辽宁,91.2,,https://www.shanghairanking.cn/_uni/logo/82317225.png
